Año de Fecha,Tipo Huevo,Canal,Ciudad ,Uds,Prom. Uds,Precio Full,Precio,Costo Pcc ,Empaque ,Clasificación ,Almacenamiento,1era Milla,Admon UM/Huevo,Log UM Veh,Total Ccial UM,Ccial UM,Mercaderismo,Staff ,Mercadeo ,Otros G.Venta,Admon ,Depreciaciones,Dev Total ,Averías Post Entrega,EBITDA (Ccial Ajustado)/Huevo,Mg. Ebitda Ccial,Prom. Dias Cartera,Cartera,Ebitda (Cartera),Mg Ebitda.
2025,AAA,AU ESP,CUCUTA,"158,520","26,420",770,766.03,290.05,50.34,24.36,3.78,17.34,11.41,41.54,72.42,0.76,71.67,5.19,7.57,13.55,35.04,8.37,0.15,0,201.66,0.26,20,2.91,200.22,0.26
2025,AAA,AU ESP,MEDELLIN,"1,229,220","204,870",769.75,682.95,289.67,50.27,24.31,3.74,21.79,16.99,33.41,38.45,16.37,22.09,5.16,7.23,13.69,35.65,8.36,1.11,18.33,131.52,0.19,81,10.48,123.99,0.18
2025,AAA,AU ESP,MONTERIA,"32,100","5,350",770,675.85,290.04,50.32,24.34,3.77,39.21,10.06,98.34,0,0,0,5.22,7.19,13.58,35.52,8.3,0,1.75,104.81,0.16,32,9.01,-4.75,-0.01
2025,AAA,AU ESP,PEREIRA,"136,230","22,705",760.46,710.16,290.09,50.58,24.43,3.81,18.33,10.23,23.23,71.64,18.93,52.71,5.21,7.49,13.61,35.02,8.39,0.76,9.75,154.39,0.22,34,15.02,142.06,0.2
2025,AAA,AU ESP,POPAYAN,"7,500","1,500",770,694.06,290.68,50.44,24.25,3.8,15.44,6.65,0,0,0,0,5.19,8.57,13.05,33.89,8.31,0,0,250.39,0.36,53,21.75,231.6,0.33
2025,AAA,AU ESP,SANTA MARTA,"92,010","15,335",781.79,741.9,290.27,50.37,24.43,3.82,24.53,8.13,41.26,61.2,4.99,56.21,5.23,7.76,13.47,34.75,8.37,3.82,0,181.26,0.24,24,4.24,177.04,0.24
2025,AAA,FS,BOGOTA,"254,280","42,380",581.63,581.63,289.57,14.52,16.21,3.75,21.55,18.16,43.18,26.91,26.91,0,4.3,6.21,11.36,29.54,8.35,0.31,0,104.42,0.18,21,9.88,100.12,0.17
2025,AAA,FS,CALI,"25,380","4,230",584.89,584.89,290.42,10.44,16.07,3.83,5.83,16.31,28.97,16.43,16.43,0,4.19,6.36,10.92,27.89,8.39,0.2,0,155.43,0.27,7,1.19,155.36,0.27
2025,AAA,FS,MEDELLIN,"23,910","5,978",496.27,496.27,289.43,10.46,14.51,3.81,11.32,15.77,31.14,13.79,13.79,0,3.88,7.09,10.33,28.02,8.15,0.13,0,64.77,0.13,31,5.77,60.8,0.12
2025,AAA,FS,PEREIRA,"16,005","2,668",698.55,698.55,289.44,50.57,24.33,3.78,18.59,10.59,20.6,0.15,0.15,0,5.02,7.59,13.22,34.49,8.33,0.48,0,228.03,0.33,0,0,231.2,0.33
2025,AAA,GS,BARRANQUILLA,"3,777,197","629,533",776.16,710.95,289.8,50.26,24.33,3.73,27.72,0.41,3.11,20.52,14.72,5.8,5.14,7.11,7.1,35.44,8.38,1.45,0.02,243.19,0.34,52,16.4,224.57,0.32
2025,AAA,GS,BOGOTA,"4,307,145","717,858",782.59,685.86,289.78,50.27,24.33,3.74,29.58,1.62,9.35,49.61,20.89,28.72,5.15,7.23,7.19,35.4,8.37,0.05,0.85,180.08,0.26,53,19.97,158.8,0.23
2025,AAA,GS,BUCARAMANGA,"255,900","42,650",781.2,673.8,289.75,50.27,24.35,3.75,6.99,3.34,25.15,60.6,18.85,41.75,5.16,7.4,7.93,35.34,8.39,0.4,0,161.75,0.24,59,22.78,140.76,0.21
2025,AAA,GS,CALI,"1,004,835","167,473",780.5,695.25,289.76,50.27,24.27,3.72,9.94,1.93,4.22,45.42,19.64,25.79,5.11,7.07,7.3,35.47,8.37,0.09,1.32,217.72,0.31,53,18.53,197.53,0.28
2025,AAA,GS,CARTAGENA,"1,489,680","248,280",770.07,730.95,289.71,50.22,24.34,3.72,33.44,0.7,3.02,24.83,7.18,17.65,5.17,7.14,7.11,35.54,8.35,1.15,1.51,251.7,0.34,50,13.34,238.73,0.33
2025,AAA,GS,CUCUTA,"18,000","3,000",773.47,735.39,289.03,50.18,24.23,3.66,21.55,11.63,33.49,57.16,11.54,45.62,5.09,6.06,9.73,37.1,8.41,1.35,0,193.55,0.26,51,20.49,176.08,0.24
2025,AAA,GS,MEDELLIN,"1,624,710","270,785",786.11,676.51,289.77,50.26,24.28,3.72,27.85,1.87,9.64,48.31,26.94,21.37,5.11,7.02,7.27,35.49,8.37,0.26,0.78,173.27,0.26,55,21.6,117.41,0.17
2025,AAA,GS,PASTO,"17,100","2,850",770,748.89,291.23,50.36,24.61,3.87,30.91,6.18,-7.9,100.37,100.37,0,5.25,7.02,8.98,33.89,8.43,0,0,202.57,0.27,58,14.99,189.79,0.25
2025,AAA,GS,PEREIRA,"142,200","23,700",786.69,673.93,289.76,50.3,24.22,3.72,19.3,0,0.59,80.41,28.44,51.98,5.08,7.13,7.01,35.37,8.38,0.17,0,159.25,0.24,63,21.96,137.29,0.2
2025,AAA,GS,SANTA MARTA,"61,290","10,215",770.56,682.35,290.42,50.26,24.34,3.74,27.61,8.06,39.07,56.31,3.42,52.89,5.15,6.81,9.02,34.8,8.32,3.01,0,132.06,0.19,56,21.94,110.97,0.16
2025,AAA,MY,BOGOTA,"534,804","106,961",262.83,262.83,286.8,7.91,15.6,3.5,35.58,0,0,0.77,0.77,0,0.64,0,3.15,8.63,8.63,8.67,0,-99.81,-0.38,11,0.79,-100.6,-0.38
2025,AAA,MY,NEIVA,"8,640","8,640",419,419,287.15,8.02,16.94,3.76,19.66,0,0,1.04,1.04,0,0.98,0,3.21,13.25,8.13,0,0,73.14,0.17,23,2.51,70.63,0.17
2025,AAA,MY,PASTO,"190,050","47,513",382.18,382.18,288.42,7.89,15.72,3.57,20.83,0,0,4.56,4.56,0,0.72,0,3.24,10.67,8.48,1.61,0,33.42,0.09,7,0.94,32.48,0.09
